corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
noise,1.0,7.0,2.8000000000000003,0.8571428571428571,31.557495100667175,0.0
noise,2.0,7.0,2.8000000000000003,1.287202552569869,21.438875703848478,0.0
scale,0.98,7.0,2.8000000000000003,0.0,31.147540983606557,0.0
scale,0.95,7.0,2.8000000000000003,1.7857142857142856,30.357142857142854,0.0
scale,0.9,7.0,2.8000000000000003,6.521739130434782,32.608695652173914,0.0
scale,0.8,7.0,2.8000000000000003,3.4482758620689653,13.793103448275861,0.0
scale,1.02,7.0,2.8000000000000003,1.4705882352941175,32.35294117647059,0.0
scale,1.05,7.0,2.8000000000000003,1.3333333333333335,33.33333333333333,0.0
scale,1.1,7.0,2.8000000000000003,3.571428571428571,35.714285714285715,0.0
scale,1.2,7.0,2.8000000000000003,5.5045871559633035,35.77981651376147,0.0
combined,0.98,7.0,2.8000000000000003,2.433854281311908,23.152393071694867,0.0
combined,0.95,7.0,2.8000000000000003,1.8542615484710474,23.618144157853916,0.0
combined,0.9,7.0,2.8000000000000003,3.7411477411477407,22.0507548007548,0.0
combined,0.8,7.0,2.8000000000000003,8.544293509810752,16.98804133286892,0.0
combined,1.02,7.0,2.8000000000000003,1.5870570107858242,25.347981055309774,0.0
combined,1.05,7.0,2.8000000000000003,0.575807787903894,26.388482538292465,0.0
combined,1.1,7.0,2.8000000000000003,1.9147410586106548,28.014900517747606,0.0
combined,1.2,7.0,2.8000000000000003,2.3667128667128665,30.302480802480808,1.5877240877240877
noise,0.5,10.0,4.0,0.0,0.0,0.0
noise,1.0,10.0,4.0,0.8571428571428571,1.9718309859154928,0.0
noise,2.0,10.0,4.0,1.287202552569869,3.9821627647714606,0.0
scale,0.98,10.0,4.0,0.0,0.0,0.0
scale,0.95,10.0,4.0,1.7857142857142856,0.0,0.0
scale,0.9,10.0,4.0,6.521739130434782,0.0,0.0
scale,0.8,10.0,4.0,3.4482758620689653,0.0,0.0
scale,1.02,10.0,4.0,1.4705882352941175,0.0,0.0
scale,1.05,10.0,4.0,0.0,0.0,0.0
scale,1.1,10.0,4.0,2.380952380952381,0.0,0.0
scale,1.2,10.0,4.0,1.834862385321101,0.0,0.0
combined,0.98,10.0,4.0,2.433854281311908,5.10939907550077,0.0
combined,0.95,10.0,4.0,1.4769030579050098,4.150943396226415,0.0
combined,0.9,10.0,4.0,3.7411477411477407,4.090909090909092,0.0
combined,0.8,10.0,4.0,8.544293509810752,4.827586206896552,0.0
combined,1.02,10.0,4.0,1.5870570107858242,5.736235595390525,0.0
combined,1.05,10.0,4.0,0.575807787903894,4.449991085755036,0.0
combined,1.1,10.0,4.0,1.1975867269984917,6.348699257274736,0.0
combined,1.2,10.0,4.0,1.4635789635789636,7.088511588511588,1.5877240877240877
noise,0.5,20.0,8.0,0.0,0.0,0.0
noise,1.0,20.0,8.0,0.8571428571428571,0.0,0.0
noise,2.0,20.0,8.0,0.9423749663629722,0.0,0.0
scale,0.98,20.0,8.0,0.0,0.0,0.0
scale,0.95,20.0,8.0,0.0,0.0,0.0
scale,0.9,20.0,8.0,0.0,0.0,0.0
scale,0.8,20.0,8.0,0.0,0.0,0.0
scale,1.02,20.0,8.0,1.4705882352941175,0.0,0.0
scale,1.05,20.0,8.0,0.0,0.0,0.0
scale,1.1,20.0,8.0,0.0,0.0,0.0
scale,1.2,20.0,8.0,0.0,0.0,0.0
combined,0.98,20.0,8.0,1.041602465331279,0.0,0.0
combined,0.95,20.0,8.0,1.1320754716981132,0.0,0.0
combined,0.9,20.0,8.0,0.8928571428571427,0.0,0.0
combined,0.8,20.0,8.0,0.0,0.0,0.0
combined,1.02,20.0,8.0,1.2840267077555212,0.0,0.0
combined,1.05,20.0,8.0,0.28169014084507044,0.0,0.0
combined,1.1,20.0,8.0,0.9411764705882353,0.0,0.0
combined,1.2,20.0,8.0,0.7328482328482329,0.0,1.5877240877240877
noise,0.5,30.0,12.0,0.0,0.0,0.0
noise,1.0,30.0,12.0,0.0,0.0,0.0
noise,2.0,30.0,12.0,0.0,0.0,0.0
scale,0.98,30.0,12.0,0.0,0.0,0.0
scale,0.95,30.0,12.0,0.0,0.0,0.0
scale,0.9,30.0,12.0,0.0,0.0,0.0
scale,0.8,30.0,12.0,0.0,0.0,0.0
scale,1.02,30.0,12.0,0.0,0.0,0.0
scale,1.05,30.0,12.0,0.0,0.0,0.0
scale,1.1,30.0,12.0,0.0,0.0,0.0
scale,1.2,30.0,12.0,0.0,0.0,0.0
combined,0.98,30.0,12.0,0.0,0.0,0.0
combined,0.95,30.0,12.0,0.0,0.0,0.0
combined,0.9,30.0,12.0,0.0,0.0,0.0
combined,0.8,30.0,12.0,0.0,0.0,0.0
