corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
combined,0.98,5.0,2.0,8.06184697901401,15.266088616794297,0.0
combined,0.95,5.0,2.0,12.232240371205489,17.537037788167545,0.0
combined,0.9,5.0,2.0,20.917819892308156,21.64350365985916,0.0
combined,0.8,5.0,2.0,38.33313853438425,32.25097082017364,0.0
combined,1.02,5.0,2.0,5.364518729231004,12.689475863498362,0.0
combined,1.05,5.0,2.0,4.344954495800896,11.578199118502045,0.1045465760491667
combined,1.1,5.0,2.0,3.1935598820247733,9.297536236107721,2.776410752362147
combined,1.2,5.0,2.0,1.9846136800840302,5.642554721863567,13.704706326411326
noise,0.5,7.0,2.8000000000000003,0.0,1.8922425435088706,0.0
noise,1.0,7.0,2.8000000000000003,0.0,3.946887383926364,0.0
noise,2.0,7.0,2.8000000000000003,0.6660071688271645,5.5766549482365315,0.0
scale,0.98,7.0,2.8000000000000003,0.0,3.015075376884422,0.0
scale,0.95,7.0,2.8000000000000003,0.0,4.563758389261745,0.0
scale,0.9,7.0,2.8000000000000003,1.6897081413210446,5.529953917050691,0.0
scale,0.8,7.0,2.8000000000000003,13.729508196721312,12.5,0.0
scale,1.02,7.0,2.8000000000000003,0.0,1.94954128440367,0.0
scale,1.05,7.0,2.8000000000000003,0.0,1.5974440894568689,0.0
scale,1.1,7.0,2.8000000000000003,0.0,0.9596928982725527,1.8234165067178503
scale,1.2,7.0,2.8000000000000003,0.0,0.07849293563579278,13.186813186813188
combined,0.98,7.0,2.8000000000000003,3.087220804293652,7.125274088348661,0.0
combined,0.95,7.0,2.8000000000000003,4.611951941912659,8.77543249294575,0.0
combined,0.9,7.0,2.8000000000000003,8.706806264229202,10.873085327468953,0.0
combined,0.8,7.0,2.8000000000000003,20.969896419406012,17.86526248773886,0.0
combined,1.02,7.0,2.8000000000000003,1.6464559970477484,6.4089622246698585,0.0
combined,1.05,7.0,2.8000000000000003,1.2840623540661344,5.425457634813623,0.1045465760491667
combined,1.1,7.0,2.8000000000000003,0.7122945364033908,4.363254891120051,2.776410752362147
combined,1.2,7.0,2.8000000000000003,0.47090918604706467,2.571715857817968,13.704706326411326
noise,0.5,10.0,4.0,0.0,0.0,0.0
noise,1.0,10.0,4.0,0.0,0.11888763127355044,0.0
noise,2.0,10.0,4.0,0.0,1.04974362712355,0.0
scale,0.98,10.0,4.0,0.0,0.0,0.0
scale,0.95,10.0,4.0,0.0,0.0,0.0
scale,0.9,10.0,4.0,0.0,0.0,0.0
scale,0.8,10.0,4.0,3.6885245901639343,1.4344262295081966,0.0
scale,1.02,10.0,4.0,0.0,0.0,0.0
scale,1.05,10.0,4.0,0.0,0.0,0.0
scale,1.1,10.0,4.0,0.0,0.0,1.8234165067178503
scale,1.2,10.0,4.0,0.0,0.0,13.186813186813188
combined,0.98,10.0,4.0,0.34535568989772253,1.6652985386294739,0.0
combined,0.95,10.0,4.0,0.6911644699423825,2.086642209623582,0.0
combined,0.9,10.0,4.0,1.5332977409130788,2.5345077323161727,0.0
combined,0.8,10.0,4.0,6.8864954188372,4.301556975955601,0.0
