corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
combined,1.05,5.0,2.0,0.06884681583476765,40.179119164170835,0.0
combined,1.1,5.0,2.0,0.0,34.35755679573382,0.8381152875892063
combined,1.2,5.0,2.0,0.0,19.720874265998376,11.35578151682617
noise,0.5,7.0,2.8000000000000003,0.0,41.028392942976986,0.0
noise,1.0,7.0,2.8000000000000003,0.0,41.85206938690242,0.0
noise,2.0,7.0,2.8000000000000003,0.8306046714691115,40.16535577461512,0.0
scale,0.98,7.0,2.8000000000000003,0.20920502092050208,42.25941422594142,0.0
scale,0.95,7.0,2.8000000000000003,0.6696428571428571,46.875,0.0
scale,0.9,7.0,2.8000000000000003,35.45918367346938,52.04081632653062,0.0
scale,0.8,7.0,2.8000000000000003,99.31740614334471,68.94197952218431,0.0
scale,1.02,7.0,2.8000000000000003,0.0,38.78326996197718,0.0
scale,1.05,7.0,2.8000000000000003,0.0,35.67662565905096,0.0
scale,1.1,7.0,2.8000000000000003,0.0,30.269413629160063,0.0
scale,1.2,7.0,2.8000000000000003,0.0,18.628719275549805,11.51358344113842
combined,0.98,7.0,2.8000000000000003,2.485883308187135,42.78838796633999,0.0
combined,0.95,7.0,2.8000000000000003,12.445144238252198,46.00590460236088,0.0
combined,0.9,7.0,2.8000000000000003,50.79270754202323,52.18686182943522,0.0
combined,0.8,7.0,2.8000000000000003,97.84186075410528,70.87567810226041,0.0
combined,1.02,7.0,2.8000000000000003,0.11049723756906076,38.58811967708847,0.0
combined,1.05,7.0,2.8000000000000003,0.0,35.156642006253215,0.0
combined,1.1,7.0,2.8000000000000003,0.0,29.49851741333361,0.8381152875892063
combined,1.2,7.0,2.8000000000000003,0.0,17.674030940773566,11.35578151682617
noise,0.5,10.0,4.0,0.0,33.63704166425837,0.0
noise,1.0,10.0,4.0,0.0,34.210993016139085,0.0
noise,2.0,10.0,4.0,0.03968253968253968,32.77327218305378,0.0
scale,0.98,10.0,4.0,0.0,34.51882845188285,0.0
scale,0.95,10.0,4.0,0.0,38.61607142857143,0.0
scale,0.9,10.0,4.0,6.63265306122449,43.11224489795919,0.0
scale,0.8,10.0,4.0,97.95221843003414,54.60750853242321,0.0
scale,1.02,10.0,4.0,0.0,31.1787072243346,0.0
scale,1.05,10.0,4.0,0.0,28.119507908611602,0.0
scale,1.1,10.0,4.0,0.0,25.356576862123614,0.0
scale,1.2,10.0,4.0,0.0,15.91203104786546,11.51358344113842
combined,0.98,10.0,4.0,0.16284999917208948,34.56215031837845,0.0
combined,0.95,10.0,4.0,1.3645614392002412,38.138987570013356,0.0
combined,0.9,10.0,4.0,17.476653991189963,42.921050083641184,0.0
combined,0.8,10.0,4.0,86.99388576764672,56.44346063822381,0.0
combined,1.02,10.0,4.0,0.07366482504604052,31.105588943809256,0.0
combined,1.05,10.0,4.0,0.0,28.12247530847261,0.0
combined,1.1,10.0,4.0,0.0,23.6738359969333,0.8381152875892063
combined,1.2,10.0,4.0,0.0,15.138930649169776,11.35578151682617
noise,0.5,20.0,8.0,0.0,16.36373763556235,0.0
noise,1.0,20.0,8.0,0.0,15.6947725176902,0.0
noise,2.0,20.0,8.0,0.0,16.207415346376468,0.0
scale,0.98,20.0,8.0,0.0,16.527196652719663,0.0
scale,0.95,20.0,8.0,0.0,16.964285714285715,0.0
scale,0.9,20.0,8.0,0.0,19.387755102040817,0.0
scale,0.8,20.0,8.0,3.4129692832764507,26.27986348122867,0.0
scale,1.02,20.0,8.0,0.0,15.96958174904943,0.0
scale,1.05,20.0,8.0,0.0,15.114235500878733,0.0
scale,1.1,20.0,8.0,0.0,14.580031695721077,0.0
scale,1.2,20.0,8.0,0.0,7.761966364812419,11.51358344113842
combined,0.98,20.0,8.0,0.0,15.80874528702122,0.0
combined,0.95,20.0,8.0,0.0,16.96964763090116,0.0
combined,0.9,20.0,8.0,0.15666666666666668,19.1925866444693,0.0
combined,0.8,20.0,8.0,6.21396966862126,24.406949477510487,0.0
combined,1.02,20.0,8.0,0.0,15.070876999763692,0.0
combined,1.05,20.0,8.0,0.0,14.427035010950116,0.0
combined,1.1,20.0,8.0,0.0,13.28876251233316,0.8381152875892063
combined,1.2,20.0,8.0,0.0,8.050910834287716,11.35578151682617
noise,0.5,30.0,12.0,0.0,7.905188975883942,0.0
noise,1.0,30.0,12.0,0.0,7.113188794732335,0.0
noise,2.0,30.0,12.0,0.0,8.101860369983687,0.0
scale,0.98,30.0,12.0,0.0,7.740585774058577,0.0
scale,0.95,30.0,12.0,0.0,7.8125,0.0
scale,0.9,30.0,12.0,0.0,8.673469387755102,0.0
scale,0.8,30.0,12.0,0.0,9.556313993174061,0.0
scale,1.02,30.0,12.0,0.0,7.79467680608365,0.0
scale,1.05,30.0,12.0,0.0,7.205623901581721,0.0
scale,1.1,30.0,12.0,0.0,7.131537242472266,0.0
scale,1.2,30.0,12.0,0.0,1.034928848641656,11.51358344113842
combined,0.98,30.0,12.0,0.0,7.4545667958268,0.0
combined,0.95,30.0,12.0,0.0,7.758301852999358,0.0
combined,0.9,30.0,12.0,0.0,8.232978966974624,0.0
combined,0.8,30.0,12.0,0.0,9.16084142408871,0.0
combined,1.02,30.0,12.0,0.0,7.542554223454867,0.0
combined,1.05,30.0,12.0,0.0,7.110429270526794,0.0
combined,1.1,30.0,12.0,0.0,6.682487474629056,0.8381152875892063
combined,1.2,30.0,12.0,0.0,2.213344288625891,11.35578151682617
noise,0.5,40.0,16.0,0.0,0.3160499206373906,0.0
noise,1.0,40.0,16.0,0.0,0.19662228088689435,0.0
noise,2.0,40.0,16.0,0.0,0.7445124999217122,0.0
scale,0.98,40.0,16.0,0.0,0.20920502092050208,0.0
scale,0.95,40.0,16.0,0.0,0.2232142857142857,0.0
scale,0.9,40.0,16.0,0.0,0.25510204081632654,0.0
scale,0.8,40.0,16.0,0.0,0.3412969283276451,0.0
scale,1.02,40.0,16.0,0.0,0.19011406844106463,0.0
scale,1.05,40.0,16.0,0.0,0.7029876977152899,0.0
scale,1.1,40.0,16.0,0.0,0.0,0.0
scale,1.2,40.0,16.0,0.0,0.0,11.51358344113842
combined,0.98,40.0,16.0,0.0,0.705291022099886,0.0
combined,0.95,40.0,16.0,0.0,0.6706863269705504,0.0
combined,0.9,40.0,16.0,0.0,0.6148086573689234,0.0
combined,0.8,40.0,16.0,0.0,0.6846836477444496,0.0
combined,1.02,40.0,16.0,0.0,0.7582429956114329,0.0
combined,1.05,40.0,16.0,0.0,0.6385864482128423,0.0
